smiles,fitness,score,generation
c1ccc2c(c1)c(-c1nccs1)cc1oc3cc4cc[nH]c4cc3c12,6.344,0.16995525,0.0
C1=CCC(c2cc3[se]c4c(cnc5ccc6c(c54)=CCC=6)c3c3cocc23)=C1,4.6524,-0.15323097,0.0
c1ncnc(-c2cc3[se]c4c5sccc5[se]c4c3[se]2)n1,2.2307,-0.55199593,0.0
C1=CCC(c2ccc(-c3ccc(-c4scc5c4C=C[SiH2]5)c4cocc34)o2)=C1,5.543,0.017220378,0.0
C1=c2c(c3c4ncccc4[nH]c3c3sc(-c4scc5cc[se]c45)cc23)=C[SiH2]1,3.5279,-0.35504335,0.0
C1=C[SiH2]C(c2cc3cnc4c5ccccc5ncc4c3c3c[nH]cc23)=C1,4.4545,-0.19024754,0.0
C1=Cc2c(-c3sc(-c4scc5ccoc45)c4ccsc34)sc(-c3scc4[nH]ccc34)c2[SiH2]1,8.1542,0.47812402,0.0
C1=Cc2csc(-c3sc(-c4ccc(-c5scc6ccsc56)[se]4)c4[se]ccc34)c2C1,7.9233,0.44306815,0.0
C1=Cc2c(csc2-c2ccc(-c3sc(-c4ccccn4)c4[nH]ccc34)o2)C1,6.8492,0.26269543,0.0
C1=c2c(c3c4sccc4[se]c3c3c2ccc2nsnc23)=C[SiH2]1,1.9278,-0.5912812,0.0
C1=Cc2c(-c3scc4occc34)sc(-c3sc(-c4cccc5cocc45)c4[se]ccc34)c2C1,9.144,0.61151695,0.0
C1=Cc2c(csc2-c2cc3c4ccccc4c4cc5cnccc5cc4c3c3c[nH]cc23)[SiH2]1,6.6826,0.23255444,0.0
C1=C(c2nccs2)Cc2c1[se]c1c2sc2ccc3cocc3c21,5.4109,-0.008240879,0.0
C1=C(c2cccc3cocc23)Cc2cc3c(cc21)oc1ccccc1-3,6.4289,0.1858021,0.0
C1=Cc2c(csc2-c2cc3[nH]c4ccc5cscc5c4c3c3cocc23)[SiH2]1,5.7889,0.06453121,0.0
C1=Cc2sc3c(c2C1)c1cscc1c1cc(-c2scc4[nH]ccc24)c2cscc2c13,9.263,0.62567604,0.0
C1=Cc2csc(-c3cc4c5c(c6c7sccc7sc6c4c4cscc34)=CCC=5)c2C1,7.7464,0.41525388,0.0
C1=Cc2csc(C3=Cc4cnc5c6ncccc6c6cscc6c5c4[SiH2]3)c2[SiH2]1,3.1434,-0.41804278,0.0
C1=C(c2ccc(-c3cccnc3)[nH]2)CC(c2scc3nccnc23)=C1,4.9521,-0.09637809,0.0
C1=c2c(-c3cncc4nsnc34)cc3sc4c(cnc5cc[nH]c54)c3c2=CC1,3.9622,-0.27982152,0.0
c1ncc(-c2ccc(-c3ccc(-c4scc5occc45)nc3)s2)cc1,6.3468,0.17047942,0.0
C1=c2c(c3c(ncc4ccc5nsnc5c43)c3c2cc(-c2ccccc2)c2cocc23)=CC1,5.9238,0.090376854,0.0
C1=Cc2cc3c4c(c5cc(-c6cccc7c[nH]cc67)ncc5c3cc2[SiH2]1)=CCC=4,3.2794,-0.3961745,0.0
c1cnc2c(-c3ccc(-c4ccc(-c5scc6cc[se]c56)[nH]4)c4nsnc34)scc2n1,6.2968,0.16110647,0.0
c1cc(-c2cc3[se]c4c5[nH]ccc5c5ccccc5c4c3s2)c2cocc2c1,7.1592,0.31740284,0.0
C1=CCC(c2sc(-c3sc(-c4scc5sccc45)c4ccsc34)c3occc23)=C1,9.724,0.6767752,0.0
C1=C(c2cncc3nsnc23)[SiH2]c2c1c1c[nH]cc1c1c2cnc2cccnc21,2.9698,-0.4452665,0.0
C1=CCC(c2sc(C3=CC=C(c4nccc5nsnc45)[SiH2]3)c3[nH]ccc23)=C1,4.5368,-0.17491287,0.0
C1=Cc2c(csc2-c2cc3oc4c([nH]c5ccc6c[nH]cc6c54)c3c3cscc23)C1,8.0611,0.46416247,0.0
C1=Cc2ncc3c([se]c4ccc5ccccc5c43)c2[SiH2]1,2.3766,-0.53213876,0.0
