smiles,fitness,score,generation
c1csc(-c2ccc(-c3ccc(-c4scc5ccoc45)nc3)nc2)n1,5.7418,5.7418,0.0
C1=Cc2c(c3c(c4c2=CCC=4)C=C(c2scc4[nH]ccc24)C3)C1,3.8601,3.8601,0.0
C1=CCC(C2=Cc3cc4c5ccccc5c4cc5c(c4cc3C2)=CCC=5)=C1,,0.0,0.0
c1cc2c3cscc3c3c(oc4cc(-c5cncc6nsnc56)c5nsnc5c43)c2[nH]1,6.3534,6.3534,0.0
c1csc(-c2cc3c4nsnc4c4c5[nH]ccc5[nH]c4c3[nH]2)n1,4.2587,4.2587,0.0
c1ccc2c(c1)c(-c1scc3[nH]ccc13)cc1cnc3ccn4ncc4ccccc4c3c12,,0.0,0.0
c1cc2cc3[nH]c4cc(-c5cncc6nsnc56)c5cocc5c4c3cc2cn1,5.6822,5.6822,0.0
c1c[nH]c(-c2cc3c4c[nH]cc4c4c5ncccc5oc4c3c3cscc23)c1,6.8253,6.8253,0.0
c1coc(-c2cc3ncc4c5c6ccccc6ccc5c5nsnc5c4c3c3ccccc23)c1,8.1123,8.1123,0.0
C1=CCC(c2cc3c4c(c5c(cnc6cccnc65)c3[nH]2)=CCC=4)=C1,3.5723,3.5723,0.0
c1cncc(-c2cc3ccc4c(ncc5ccc6cocc6c54)c3c3nsnc23)c1,6.3541,6.3541,0.0
C1=C(c2ccccn2)Cc2c1[nH]c1c3ncccc3c3cocc3c21,4.954,4.954,0.0
c1coc(-c2ccc(-c3ccc(-c4cncs4)c4ccccc34)c3cscc23)c1,8.105,8.105,0.0
C1=CCC(c2cc3ncc4c5ccccc5ncc4c3c3c2=CCC=3)=C1,4.2442,4.2442,0.0
c1ncc(-c2cc3[nH]c4cc5ccc6cocc6c5cc4c3c3cscc23)s1,7.5587,7.5587,0.0
c1cc2csc(-c3ccc4c(c3)ncc3c5c6c[nH]cc6ccc5c5cocc5c43)c2s1,8.7119,8.7119,0.0
c1ccc2c(c1)c1c[nH]cc1c1c2sc2cc(-c3nccc4nsnc34)c3c[nH]cc3c21,7.237,7.237,0.0
c1cc(-c2cc3[nH]c4cc5ccoc5cc4c3s2)c2cocc2c1,6.542,6.542,0.0
c1coc(-c2cc3c4ccccc4c4cc[nH]c4c3c3cscc23)c1,6.949,6.949,0.0
c1cncc(-c2ccc(-c3sc(-c4cncc5nsnc45)c4sccc34)c3cscc23)c1,7.9732,7.9732,0.0
c1c[nH]c(-c2cc3c4cscc4c4c5ccccc5c5cscc5c4c3c3nsnc23)c1,8.5754,8.5754,0.0
C1=Cc2cc3c(cc2C1)c1c(cc(-c2scc4occc24)c2cscc2c13,,0.0,0.0
C1=CCC(c2cc3[nH]c4c([nH]c5ccc6cscc6c54)c3o2)=C1,5.9534,5.9534,0.0
C1=Cc2c(-c3cccc4cocc34)sc(-c3ccc(-c4nccs4)c4cscc34)c2C1,8.7358,8.7358,0.0
C1=Cc2csc(-c3cc4cc5sc6ccncc6c5cc4o3)c2C1,6.4935,6.4935,0.0
c1cnc2c(c1)c1cocc1c1cc(-c3scc4occc34)ncc12,6.0039,6.0039,0.0
c1cc2c3cscc3c3c4c5c[nH]cc5c(-c5cncc6nsnc56)cc4c4nsnc4c3c2[nH]1,7.2417,7.2417,0.0
c1ccc(-c2ccc(-c3ccc(-c4scc5cc[nH]c45)c4cocc34)o2)cc1,7.5696,7.5696,0.0
C1=Cc2c(-c3ccc(-c4cccs4)c4cscc34)sc(-c3ccccc3)c2C1,8.5946,8.5946,0.0
c1ccc2c(-c3cnc4c(c3)oc3c4cnc4ccoc43)cccc2c1,5.9424,5.9424,0.0
C1=Cc2c(csc2-c2cc3cc4c(cc3c3ccccc23)c2c3cscc3ccc2c2nsnc42)C1,9.8166,9.8166,0.0
C1=Cc2c(c3c4c[nH]cc4c4cc(-c5ccccn5)c5ccccc5c4c3c3c2=CCC=3)C1,6.2235,6.2235,0.0
C1=Cc2csc(-c3sc(-c4sc(-c5cccc6nsnc56)c5cc[nH]c45)c4ccoc34)c2C1,8.6736,8.6736,0.0
c1cc(-c2cc3c4cocc4c4cc5ccsc5cc4c3c3ccccc23)c2cscc2c1,9.9888,9.9888,0.0
c1cc(-c2ccc3c(c2)[nH]c2c4sccc4c4nsnc4c32)c2c[nH]cc2c1,6.6888,6.6888,0.0
c1coc(-c2cnc3c(ccc4c5c6cscc6ccc5c5nsnc5c43)c2)c1,7.0206,7.0206,0.0
C1=CCC(C2=CC=C(c3ncc(-c4ccccn4)c4nsnc34)C2)=C1,4.7481,4.7481,0.0
c1cncc(-c2sc(-c3ccc(-c4scc5occc45)c4cocc34)c3cc[nH]c23)c1,8.1793,8.1793,0.0
C1=Cc2cc3c4cscc4c4cc(-c5cccc6c[nH]cc56)ccc4c3cc2C1,7.9253,7.9253,0.0
c1cc2c(-c3ccc4c(c3)oc3c5c6c[nH]cc6ccc5c5c[nH]cc5c43)scc2[nH]1,7.9116,7.9116,0.0
C1=C(c2cncs2)Cc2c1ncc1c2cnc2ccccc21,4.3362,4.3362,0.0
C1=C(c2scc3occc23)Cc2cc3c(cc21)[nH]c1ccc2cscc2c13,7.4402,7.4402,0.0
c1coc(-c2cc3c4cscc4c4cc5ccc6ccccc6c5cc4c3[nH]2)c1,8.1022,8.1022,0.0
c1cc(-c2ccc3c(c2)c2cocc2c2c4occc4c4cscc4c32)c2cscc2c1,9.5818,9.5818,0.0
C1=c2ccc3sc4c5ccc(-c6scc7nccnc67)cc5cnc4c3c2=CC1,5.2391,5.2391,0.0
C1=c2c(c3c([nH]c4cc(-c5ccco5)c5cscc5c43)c3[nH]ccc23)=CC1,5.2418,5.2418,0.0
c1coc(-c2cc3c4ccccc4c4c(ccc5ccc6cscc6c54)c3c3nsnc23)c1,8.7788,8.7788,0.0
c1cnc2c(c1)sc1c2ncc2cc(-c3scc4ccsc34)c3c[nH]cc3c21,7.4222,7.4222,0.0
C1=Cc2c(csc2-c2cc3c4c(c5c(cnc6cccnc65)c3c3cocc23)=CCC=4)C1,5.9449,5.9449,0.0
c1cc(-c2ccc(-c3ccc(-c4scc5occc45)c4cocc34)o2)c2cocc2c1,8.5807,8.5807,0.0
c1cc(-c2cc3ncc4c(ccc5ccc6c[nH]cc6c54)c3cn2)c2cocc2c1,6.8307,6.8307,0.0
c1ccc2c(c1)cnc1cc(-c3scc4cc[nH]c34)c3cscc3c12,6.8125,6.8125,0.0
c1ccc2c(c1)c(-c1scc3occc13)cc1oc3c4c(ccc5nsnc54)c4c[nH]cc4c3c12,8.8531,8.8531,0.0
c1cc(-c2ccc(-c3ccc(-c4cccc5cscc45)cc3)o2)c2cscc2c1,8.71,8.71,0.0
c1cc(-c2cc3sc4c5cnccc5c5nsnc5c4c3o2)c2cocc2c1,6.6136,6.6136,0.0
C1=CCC(c2ccc(-c3ccc(-c4scc5c4CC=C5)s3)c3ccccc23)=C1,8.2094,8.2094,0.0
c1ccc(-c2cnc3c(c2)c2c[nH]cc2c2c4ccccc4ccc32)nc1,6.0845,6.0845,0.0
C1=c2ccc3[nH]c4c5ccc(-c6cncs6)cc5c5cscc5c4c3c2=CC1,5.7772,5.7772,0.0
c1c[nH]c(-c2cc3c4cscc4c4c5ccccc5[nH]c4c3c3c[nH]cc23)c1,7.1654,7.1654,0.0
c1c[nH]c(-c2cnc(-c3sc(-c4scc5ccsc45)c4cc[nH]c34)c3nsnc23)c1,7.2344,7.2344,0.0
c1cc2c(-c3ccc4c(c3)c3nsnc3c3c4[nH]c4ccc5cocc5c43)scc2o1,7.6999,7.6999,0.0
C1=CCC(c2ccc(-c3ccc(-c4scc5sccc45)c4ccccc34)c3cscc23)=C1,10.008,10.008,0.0
c1ccc(-c2cc3oc4ccoc4c3)c3ccccc23)nc1,,0.0,0.0
C1=C(c2cccc3cscc23)Cc2c1oc1c2cnc2cc[nH]c21,5.6205,5.6205,0.0
C1=c2cccc(-c3cc4ncc5c(oc6ccsc65)c4c4c3=CCC=4)c2=CC1,3.7921,3.7921,0.0
c1ccc2c(c1)c(-c1scc3ccoc13)cc1c3cocc3c3cc[nH]c3c21,7.6952,7.6952,0.0
C1=c2c(-c3scc4sccc34)cc3c4c[nH]cc4c4cc5cc[nH]c5cc4c3c2=CC1,6.8635,6.8635,0.0
C1=Cc2c(csc2-c2ccc(-c3ccc(-c4scc5nccnc45)s3)o2)C1,6.9776,6.9776,0.0
C1=Cc2ncc3c(oc4cc(-c5scc6sccc56)c5cscc5c43)c2C1,7.7082,7.7082,0.0
c1cc2csc(-c3cc4c5c[nH]cc5c5c(sc6ccc7nsnc7c65)c4o3)c2o1,7.7614,7.7614,0.0
c1ccc2c(c1)ccc1ncc3c4ccccc4c4nsnc4c3c12,5.6991,5.6991,0.0
C1=c2c(-c3ccccc3)cc3ccc4c5c6cocc6ccc5c5nsnc5c4c3c2=CC1,6.5288,6.5288,0.0
c1cc(-c2ccc(-c3ccc(-c4cccc5cscc45)cc3)s2)c2cscc2c1,9.1785,9.1785,0.0
C1=C(c2cccc3cscc23)Cc2c1c1cscc1c1c3c4c[nH]cc4c(-c4cncs4)cc3c3ccccc3c21,11.2771,11.2771,0.0
c1cc(-c2cc3cnc4c5ccccc5c5c[nH]cc5c4c3o2)c2c[nH]cc2c1,6.7638,6.7638,0.0
C1=Cc2cnc3c(oc4cc(-c5scc6ccoc56)c5cocc5c43)c2C1,6.7712,6.7712,0.0
c1cc2c3nsnc3c3c4c5cscc5c4ccc5cocc5c4cc3c2[nH]1,,0.0,0.0
c1cncc(-c2cc3cnc4c(ncc5ccsc54)c3[nH]2)c1,4.3878,4.3878,0.0
c1cc(-c2ccc(-c3ccc(-c4scc5[nH]ccc45)cc3)s2)c2cocc2c1,8.0381,8.0381,0.0
c1ccc2c(c1)c(-c1scc3occc13)cc1oc3c(cnc4ccc5nsnc5c43)c12,7.7668,7.7668,0.0
C1=C(c2cncc3nsnc23)Cc2c1cnc1c2ccc2ccncc21,4.2794,4.2794,0.0
c1cc(-c2cc3c4ccccc4c4c(oc5ccsc54)c3c3ccccc23)c2cscc2c1,9.9888,9.9888,0.0
C1=c2cccc(-c3cnc4c(c3)ncc3c5c6c[nH]cc6ccc5c5c[nH]cc5c34)c2=CC1,5.5305,5.5305,0.0
c1ccc2c(-c3cc4oc5c(ccc6ccc7c[nH]cc7c65)c4s3)cccc2c1,8.1022,8.1022,0.0
c1cc(-c2ccc3c(c2)ncc2ccsc23)c2cscc2c1,6.3312,6.3312,0.0
c1cc2oc3c(sc4cc(-c5cncc6nsnc56)c5cscc5c43)c2[nH]1,6.4102,6.4102,0.0
